
<!-- saved from url=(0203)https://www.wunderground.com/history/airport/KLRO/2016/5/13/DailyHistory.html?req_city=Mount+Pleasant&req_state=SC&req_statename=South+Carolina&reqdb.zip=29464&reqdb.magic=1&reqdb.wmo=99999&MR=1&format=1 -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"></head><body>TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br>
7:55 PM,77.0,71.6,83,29.89,8.0,South,5.8,-,N/A,,Partly Cloudy,180,2016-05-13 23:55:00<br>
8:15 PM,77.0,71.6,83,29.89,8.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2016-05-14 00:15:00<br>
8:35 PM,75.2,69.8,83,29.90,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2016-05-14 00:35:00<br>
8:55 PM,73.4,69.8,88,29.90,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-05-14 00:55:00<br>
9:15 PM,73.4,69.8,88,29.90,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 01:15:00<br>
9:35 PM,71.6,69.8,94,29.91,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 01:35:00<br>
9:55 PM,71.6,69.8,94,29.91,9.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 01:55:00<br>
10:15 PM,71.6,69.8,94,29.92,8.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 02:15:00<br>
10:35 PM,71.6,69.8,94,29.93,8.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 02:35:00<br>
10:55 PM,71.6,69.8,94,29.92,8.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 02:55:00<br>
11:15 PM,71.6,69.8,94,29.92,9.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 03:15:00<br>
11:35 PM,69.8,68.0,94,29.92,7.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 03:35:00<br>
11:55 PM,69.8,68.0,94,29.92,6.0,Calm,Calm,-,N/A,,Clear,0,2016-05-14 03:55:00<br>
</body></html>
